RespondentID,Action Design DC Meetup,Big Data DC Meetup,Big Data District Meetup,Data Business DC Meetup,Data Science DC Meetup,DC ACM events,DC Lean Startup Circle Meetup,DC Python Meetup,DC Tech Meetup,eDiscovery DC Meetup,Federal Big Data Meetup,Geo DC Meetup,Hadoop DC Meetup,Intel Analytics DC Meetup,Open Analytics DC Meetup,R Users DC Meetup,SAS Meetup of DC-VA,Social Media Analytics DC Meetup,Washington Statistical Society events,WINFORMS events/DC Operations Research Meetup
2431779795,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2430351072,Am a member and sometimes attend,Am a member and usually attend,Am a member and usually attend,Am a member and usually attend,Am a member and usually attend,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2429942934,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member but rarely attend,Am not a member,Am not a member,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member
2429585146,Am not a member,Am not a member,Am not a member,Am a member and usually attend,Am a member and sometimes attend,Never heard of this,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2429176110,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am a member and usually attend,Am not a member,Am not a member,Am a member and sometimes attend,Am a member but rarely attend,Am not a member,Am not a member,Am a member and usually attend,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member
2429168355,Never heard of this,Am a member but rarely attend,Am not a member,Never heard of this,Am a member and usually attend,Never heard of this,Am not a member,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2429117103,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend
2428725413,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,,Am not a member,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2428695254,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2428664926,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2428571977,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member and sometimes attend,Am not a member,Never heard of this,Am not a member,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am not a member,Am not a member,Am a member and usually attend
2428529507,Never heard of this,Am not a member,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2428424368,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2428118200,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Never heard of this,Am a member but rarely attend,Never heard of this
2428098133,,,,,Am a member but rarely attend,,,Am a member but rarely attend,,,Am a member but rarely attend,,,,,Am a member but rarely attend,,,,
